Orthogroup	Ofaveolata_out_PRO	Ssiderea_out_PRO
OG0005807	Ofaveolata034307	Ssiderea052872
OG0005808	Ofaveolata015835	Ssiderea033794
OG0005809	Ofaveolata015271	Ssiderea051048
OG0005810	Ofaveolata014745	Ssiderea004216
OG0005811	Ofaveolata005499	Ssiderea010410
OG0005812	Ofaveolata004499	Ssiderea052408
OG0005813	Ofaveolata005892	Ssiderea047911
OG0005814	Ofaveolata005678	Ssiderea016687
OG0005815	Ofaveolata017173	Ssiderea039136
OG0005816	Ofaveolata026115	Ssiderea054901
OG0005817	Ofaveolata001236	Ssiderea029701
OG0005818	Ofaveolata007954	Ssiderea009431
OG0005819	Ofaveolata022787	Ssiderea015180
OG0005820	Ofaveolata023989	Ssiderea045912
OG0005821	Ofaveolata023438	Ssiderea005046
OG0005822	Ofaveolata003615	Ssiderea046346
OG0005823	Ofaveolata033054	Ssiderea025933
OG0005824	Ofaveolata006802	Ssiderea032228
OG0005825	Ofaveolata028784	Ssiderea014543
OG0005826	Ofaveolata032031	Ssiderea048968
OG0005827	Ofaveolata011566	Ssiderea019627
OG0005828	Ofaveolata002590	Ssiderea024433
OG0005829	Ofaveolata014055	Ssiderea003476
OG0005830	Ofaveolata014846	Ssiderea004230
OG0005831	Ofaveolata014839	Ssiderea004559
OG0005832	Ofaveolata025081	Ssiderea021447
OG0005834	Ofaveolata021192	Ssiderea62784
OG0005835	Ofaveolata023553	Ssiderea015641
OG0005836	Ofaveolata001460	Ssiderea043607
OG0005837	Ofaveolata005098	Ssiderea010376
OG0005838	Ofaveolata013549	Ssiderea000100
OG0005839	Ofaveolata012318	Ssiderea017308
OG0005840	Ofaveolata008067	Ssiderea009600
OG0005841	Ofaveolata006210	Ssiderea053561
OG0005842	Ofaveolata013441	Ssiderea000559
OG0005843	Ofaveolata023484	Ssiderea004962
OG0005844	Ofaveolata013767	Ssiderea049143
OG0005845	Ofaveolata021014	Ssiderea012293
OG0005846	Ofaveolata023257	Ssiderea045956
OG0005847	Ofaveolata028785	Ssiderea014544
OG0005848	Ofaveolata018848	Ssiderea003082
OG0005849	Ofaveolata016283	Ssiderea052684
OG0005850	Ofaveolata011231	Ssiderea051432
OG0005851	Ofaveolata013883	Ssiderea044126
OG0005852	Ofaveolata004524	Ssiderea052442
OG0005853	Ofaveolata034051	Ssiderea031713
OG0005854	Ofaveolata026088	Ssiderea054880
OG0005855	Ofaveolata010150	Ssiderea055805
OG0005856	Ofaveolata002480	Ssiderea025070
OG0005857	Ofaveolata028155	Ssiderea042402
OG0005858	Ofaveolata032854	Ssiderea053933
OG0005859	Ofaveolata020055	Ssiderea056521
OG0005860	Ofaveolata002889	Ssiderea024562
OG0005861	Ofaveolata034240	Ssiderea053592
OG0005862	Ofaveolata005509	Ssiderea052492
OG0005863	Ofaveolata036534	Ssiderea048949
OG0005864	Ofaveolata014738	Ssiderea004196
OG0005865	Ofaveolata024763	Ssiderea016867
OG0005866	Ofaveolata017089	Ssiderea054518
OG0005867	Ofaveolata005704	Ssiderea045628
OG0005868	Ofaveolata024697	Ssiderea016965
OG0005869	Ofaveolata006487	Ssiderea010066
OG0005870	Ofaveolata008334	Ssiderea008913
OG0005871	Ofaveolata006474	Ssiderea058362
OG0005872	Ofaveolata032556	Ssiderea034925
OG0005873	Ofaveolata000637	Ssiderea044776
OG0005874	Ofaveolata014351	Ssiderea004803
OG0005875	Ofaveolata017147	Ssiderea039438
OG0005876	Ofaveolata013032	Ssiderea001611
OG0005877	Ofaveolata003565	Ssiderea046299
OG0005878	Ofaveolata014504	Ssiderea004407
OG0005881	Ofaveolata003172	Ssiderea030225
OG0005882	Ofaveolata028680	Ssiderea042823
OG0005883	Ofaveolata015919	Ssiderea033362
OG0005884	Ofaveolata012294	Ssiderea017396
OG0005885	Ofaveolata022658	Ssiderea015217
OG0005886	Ofaveolata009280	Ssiderea035591
OG0005887	Ofaveolata004105	Ssiderea030783
OG0005888	Ofaveolata017514	Ssiderea048494
OG0005889	Ofaveolata033916	Ssiderea031848
OG0005890	Ofaveolata005276	Ssiderea015868
OG0005891	Ofaveolata033590	Ssiderea053712
OG0005892	Ofaveolata016149	Ssiderea054572
OG0005893	Ofaveolata000696	Ssiderea044778
OG0005895	Ofaveolata005790	Ssiderea045605
OG0005896	Ofaveolata015704	Ssiderea054061
OG0005897	Ofaveolata031110	Ssiderea048857
OG0005898	Ofaveolata023927	Ssiderea041644
OG0005899	Ofaveolata017447	Ssiderea048438
OG0005900	Ofaveolata023634	Ssiderea050025
OG0005901	Ofaveolata016142	Ssiderea036604
OG0005902	Ofaveolata012465	Ssiderea017287
OG0005903	Ofaveolata002915	Ssiderea024516
OG0005904	Ofaveolata024287	Ssiderea006328
OG0005905	Ofaveolata008204	Ssiderea050755
OG0005906	Ofaveolata008113	Ssiderea009642
OG0005907	Ofaveolata007107	Ssiderea028189
OG0005908	Ofaveolata022712	Ssiderea015564
OG0005909	Ofaveolata023148	Ssiderea014671
OG0005910	Ofaveolata013287	Ssiderea001062
OG0005911	Ofaveolata033518	Ssiderea026312
OG0005913	Ofaveolata024345	Ssiderea006219
OG0005914	Ofaveolata027615	Ssiderea042346
OG0005915	Ofaveolata029173	Ssiderea034328
OG0005916	Ofaveolata011222	Ssiderea051545
OG0005917	Ofaveolata023482	Ssiderea004983
OG0005918	Ofaveolata019115	Ssiderea019012
OG0005919	Ofaveolata033450	Ssiderea047091
OG0005920	Ofaveolata014297	Ssiderea60677
OG0005921	Ofaveolata029090	Ssiderea013743
OG0005922	Ofaveolata008343	Ssiderea050499
OG0005923	Ofaveolata001186	Ssiderea029332
OG0005924	Ofaveolata004391	Ssiderea045533
OG0005925	Ofaveolata022034	Ssiderea023344
OG0005926	Ofaveolata027297	Ssiderea025530
OG0005927	Ofaveolata014311	Ssiderea003582
OG0005928	Ofaveolata026603	Ssiderea035173
OG0005929	Ofaveolata021877	Ssiderea020419
OG0005930	Ofaveolata029631	Ssiderea050882
OG0005931	Ofaveolata017865	Ssiderea003383
OG0005932	Ofaveolata002017	Ssiderea013625
OG0005933	Ofaveolata019347	Ssiderea011390
OG0005934	Ofaveolata032497	Ssiderea034818
OG0005935	Ofaveolata026833	Ssiderea017777
OG0005936	Ofaveolata001735	Ssiderea026940
OG0005937	Ofaveolata002565	Ssiderea013050
OG0005938	Ofaveolata005193	Ssiderea016595
OG0005939	Ofaveolata026293	Ssiderea039573
OG0005940	Ofaveolata003334	Ssiderea030006
OG0005941	Ofaveolata017011	Ssiderea039250
OG0005942	Ofaveolata035154	Ssiderea61025
OG0005943	Ofaveolata014268	Ssiderea003670
OG0005944	Ofaveolata022903	Ssiderea014965
OG0005945	Ofaveolata030890	Ssiderea048881
OG0005946	Ofaveolata013108	Ssiderea000758
OG0005947	Ofaveolata000339	Ssiderea022092
OG0005948	Ofaveolata018001	Ssiderea002261
OG0005949	Ofaveolata012715	Ssiderea001282
OG0005950	Ofaveolata013836	Ssiderea044249
OG0005951	Ofaveolata020017	Ssiderea056489
OG0005952	Ofaveolata005173	Ssiderea010631
OG0005953	Ofaveolata015635	Ssiderea033611
OG0005954	Ofaveolata031778	Ssiderea006713
OG0005955	Ofaveolata014636	Ssiderea004128
OG0005956	Ofaveolata004276	Ssiderea029057
OG0005957	Ofaveolata022270	Ssiderea022829
OG0005958	Ofaveolata033491	Ssiderea058235
OG0005959	Ofaveolata008394	Ssiderea008863
OG0005960	Ofaveolata031944	Ssiderea007410
OG0005961	Ofaveolata032407	Ssiderea035017
OG0005962	Ofaveolata000314	Ssiderea022134
OG0005963	Ofaveolata025673	Ssiderea020991
OG0005964	Ofaveolata022165	Ssiderea023031
OG0005965	Ofaveolata004507	Ssiderea052420
OG0005966	Ofaveolata002454	Ssiderea024973
OG0005967	Ofaveolata031441	Ssiderea048793
OG0005968	Ofaveolata000323	Ssiderea022114
OG0005969	Ofaveolata015974	Ssiderea033372
OG0005970	Ofaveolata006367	Ssiderea009312
OG0005971	Ofaveolata018956	Ssiderea001949
OG0005972	Ofaveolata012310	Ssiderea017317
OG0005973	Ofaveolata024274	Ssiderea006436
OG0005974	Ofaveolata027445	Ssiderea035532
OG0005975	Ofaveolata008348	Ssiderea050497
OG0005976	Ofaveolata028693	Ssiderea042806
OG0005977	Ofaveolata012991	Ssiderea001639
OG0005978	Ofaveolata029135	Ssiderea013826
OG0005979	Ofaveolata032676	Ssiderea052057
OG0005980	Ofaveolata016382	Ssiderea036575
OG0005981	Ofaveolata000772	Ssiderea044945
OG0005982	Ofaveolata031696	Ssiderea007189
OG0005983	Ofaveolata009951	Ssiderea036132
OG0005984	Ofaveolata030972	Ssiderea056380
OG0005985	Ofaveolata007099	Ssiderea028219
OG0005986	Ofaveolata030664	Ssiderea013911
OG0005987	Ofaveolata016836	Ssiderea042563
OG0005988	Ofaveolata000598	Ssiderea029643
OG0005989	Ofaveolata008230	Ssiderea050689
OG0005990	Ofaveolata034284	Ssiderea052959
OG0005991	Ofaveolata005564	Ssiderea016057
OG0005992	Ofaveolata015011	Ssiderea051231
OG0005993	Ofaveolata010355	Ssiderea045272
OG0005995	Ofaveolata001020	Ssiderea022363
OG0005996	Ofaveolata027672	Ssiderea049002
OG0005997	Ofaveolata010485	Ssiderea019526
OG0005998	Ofaveolata010183	Ssiderea058634
OG0005999	Ofaveolata000063	Ssiderea029439
OG0006000	Ofaveolata024682	Ssiderea017109
OG0006001	Ofaveolata002715	Ssiderea013186
OG0006002	Ofaveolata023034	Ssiderea014788
OG0006003	Ofaveolata025356	Ssiderea042024
OG0006004	Ofaveolata019636	Ssiderea011682
OG0006005	Ofaveolata022892	Ssiderea014983
OG0006006	Ofaveolata006058	Ssiderea057254
OG0006007	Ofaveolata002955	Ssiderea013021
OG0006009	Ofaveolata000813	Ssiderea022693
OG0006010	Ofaveolata030528	Ssiderea037729
OG0006011	Ofaveolata005233	Ssiderea016652
OG0006012	Ofaveolata007089	Ssiderea028259
OG0006013	Ofaveolata006894	Ssiderea032149
OG0006014	Ofaveolata026337	Ssiderea039687
OG0006015	Ofaveolata032373	Ssiderea034983
OG0006016	Ofaveolata025687	Ssiderea038777
OG0006017	Ofaveolata005634	Ssiderea016247
OG0006018	Ofaveolata001541	Ssiderea049583
OG0006019	Ofaveolata033470	Ssiderea039966
OG0006020	Ofaveolata030278	Ssiderea027537
OG0006021	Ofaveolata023969	Ssiderea046002
OG0006022	Ofaveolata028206	Ssiderea033259
OG0006023	Ofaveolata003405	Ssiderea029884
OG0006024	Ofaveolata005059	Ssiderea010289
OG0006025	Ofaveolata017701	Ssiderea046926
OG0006026	Ofaveolata005325	Ssiderea015795
OG0006027	Ofaveolata034811	Ssiderea013635
OG0006028	Ofaveolata026647	Ssiderea017626
OG0006029	Ofaveolata023139	Ssiderea014687
OG0006030	Ofaveolata023042	Ssiderea014772
OG0006031	Ofaveolata019694	Ssiderea012134
OG0006032	Ofaveolata008483	Ssiderea008749
OG0006033	Ofaveolata022489	Ssiderea015174
OG0006034	Ofaveolata022899	Ssiderea014967
OG0006035	Ofaveolata022677	Ssiderea015238
OG0006036	Ofaveolata022422	Ssiderea023531
OG0006037	Ofaveolata035241	Ssiderea61316
OG0006038	Ofaveolata029187	Ssiderea027768
OG0006039	Ofaveolata013634	Ssiderea000138
OG0006040	Ofaveolata024224	Ssiderea005715
OG0006041	Ofaveolata005955	Ssiderea047875
OG0006042	Ofaveolata036279	Ssiderea005404
OG0006043	Ofaveolata004727	Ssiderea010853
OG0006044	Ofaveolata012905	Ssiderea001526
OG0006045	Ofaveolata000325	Ssiderea022111
OG0006046	Ofaveolata007563	Ssiderea009212
OG0006047	Ofaveolata027215	Ssiderea035293
OG0006048	Ofaveolata028794	Ssiderea014539
OG0006049	Ofaveolata026524	Ssiderea021669
OG0006050	Ofaveolata016218	Ssiderea036589
OG0006051	Ofaveolata016779	Ssiderea040658
OG0006052	Ofaveolata023177	Ssiderea014620
OG0006053	Ofaveolata010261	Ssiderea019446
OG0006054	Ofaveolata014879	Ssiderea004035
OG0006055	Ofaveolata026237	Ssiderea039554
OG0006056	Ofaveolata025472	Ssiderea039851
OG0006057	Ofaveolata010582	Ssiderea045390
OG0006058	Ofaveolata010740	Ssiderea017591
OG0006059	Ofaveolata008022	Ssiderea009525
OG0006060	Ofaveolata022112	Ssiderea022925
OG0006061	Ofaveolata028827	Ssiderea014431
OG0006062	Ofaveolata026836	Ssiderea017781
OG0006063	Ofaveolata030283	Ssiderea027541
OG0006064	Ofaveolata029570	Ssiderea054657
OG0006065	Ofaveolata027895	Ssiderea035395
OG0006066	Ofaveolata022406	Ssiderea023319
OG0006067	Ofaveolata005123	Ssiderea056166
OG0006068	Ofaveolata009680	Ssiderea035913
OG0006069	Ofaveolata025438	Ssiderea039807
OG0006070	Ofaveolata004606	Ssiderea016362
OG0006071	Ofaveolata025229	Ssiderea021624
OG0006072	Ofaveolata009907	Ssiderea051809
OG0006073	Ofaveolata034182	Ssiderea053773
OG0006074	Ofaveolata012826	Ssiderea058319
OG0006075	Ofaveolata005735	Ssiderea045522
OG0006076	Ofaveolata005042	Ssiderea010269
OG0006077	Ofaveolata010732	Ssiderea057763
OG0006078	Ofaveolata025096	Ssiderea021438
OG0006079	Ofaveolata018300	Ssiderea018605
OG0006080	Ofaveolata031695	Ssiderea006806
OG0006081	Ofaveolata017696	Ssiderea046920
OG0006082	Ofaveolata001599	Ssiderea026758
OG0006083	Ofaveolata014882	Ssiderea004029
OG0006084	Ofaveolata020790	Ssiderea047644
OG0006085	Ofaveolata022800	Ssiderea015191
OG0006086	Ofaveolata015232	Ssiderea051077
OG0006087	Ofaveolata024362	Ssiderea006202
OG0006088	Ofaveolata000310	Ssiderea022136
OG0006089	Ofaveolata023021	Ssiderea014811
OG0006090	Ofaveolata030085	Ssiderea054269
OG0006091	Ofaveolata019346	Ssiderea011392
OG0006092	Ofaveolata034308	Ssiderea052875
OG0006093	Ofaveolata001761	Ssiderea027012
OG0006094	Ofaveolata022349	Ssiderea023223
OG0006095	Ofaveolata025256	Ssiderea041881
OG0006096	Ofaveolata007098	Ssiderea028220
OG0006097	Ofaveolata015161	Ssiderea051123
OG0006098	Ofaveolata007058	Ssiderea028319
OG0006099	Ofaveolata015584	Ssiderea038087
OG0006100	Ofaveolata005308	Ssiderea015833
OG0006101	Ofaveolata007091	Ssiderea028227
OG0006102	Ofaveolata029418	Ssiderea032918
OG0006103	Ofaveolata024578	Ssiderea005928
OG0006104	Ofaveolata005054	Ssiderea010282
OG0006105	Ofaveolata014963	Ssiderea038377
OG0006106	Ofaveolata013962	Ssiderea043973
OG0006107	Ofaveolata019274	Ssiderea020675
OG0006108	Ofaveolata001782	Ssiderea027031
OG0006109	Ofaveolata000381	Ssiderea022055
OG0006110	Ofaveolata029746	Ssiderea023766
OG0006111	Ofaveolata032717	Ssiderea034742
OG0006112	Ofaveolata017151	Ssiderea039433
OG0006113	Ofaveolata002785	Ssiderea013310
OG0006114	Ofaveolata000732	Ssiderea044901
OG0006115	Ofaveolata015513	Ssiderea056825
OG0006116	Ofaveolata001442	Ssiderea043594
OG0006117	Ofaveolata009080	Ssiderea055116
OG0006118	Ofaveolata035171	Ssiderea61787
OG0006119	Ofaveolata027201	Ssiderea035234
OG0006120	Ofaveolata007911	Ssiderea009379
OG0006121	Ofaveolata012724	Ssiderea001294
OG0006122	Ofaveolata031591	Ssiderea007460
OG0006123	Ofaveolata010125	Ssiderea049490
OG0006124	Ofaveolata023463	Ssiderea005016
OG0006125	Ofaveolata032670	Ssiderea052048
OG0006126	Ofaveolata004769	Ssiderea010954
OG0006127	Ofaveolata025679	Ssiderea038771
OG0006128	Ofaveolata024694	Ssiderea016967
OG0006129	Ofaveolata001295	Ssiderea049741
OG0006130	Ofaveolata029194	Ssiderea034344
OG0006131	Ofaveolata028777	Ssiderea042764
OG0006132	Ofaveolata003496	Ssiderea046238
OG0006133	Ofaveolata024377	Ssiderea006131
OG0006134	Ofaveolata033479	Ssiderea039975
OG0006135	Ofaveolata000969	Ssiderea022470
OG0006136	Ofaveolata022474	Ssiderea015148
OG0006138	Ofaveolata025780	Ssiderea038884
OG0006139	Ofaveolata027474	Ssiderea036748
OG0006140	Ofaveolata018000	Ssiderea002265
OG0006141	Ofaveolata034238	Ssiderea053598
OG0006142	Ofaveolata005008	Ssiderea010548
OG0006143	Ofaveolata026844	Ssiderea017787
OG0006144	Ofaveolata027828	Ssiderea035409
OG0006145	Ofaveolata027996	Ssiderea035479
OG0006146	Ofaveolata008289	Ssiderea008485
OG0006147	Ofaveolata002575	Ssiderea013046
OG0006148	Ofaveolata003546	Ssiderea046286
OG0006149	Ofaveolata022714	Ssiderea015560
OG0006150	Ofaveolata024469	Ssiderea005764
OG0006151	Ofaveolata014126	Ssiderea003525
OG0006152	Ofaveolata021055	Ssiderea012322
OG0006153	Ofaveolata010165	Ssiderea055790
OG0006154	Ofaveolata024532	Ssiderea005987
OG0006155	Ofaveolata018971	Ssiderea001939
OG0006156	Ofaveolata007784	Ssiderea009276
OG0006157	Ofaveolata013473	Ssiderea010067
OG0006158	Ofaveolata027972	Ssiderea035455
OG0006159	Ofaveolata027840	Ssiderea035413
OG0006160	Ofaveolata030426	Ssiderea034092
OG0006161	Ofaveolata017103	Ssiderea052637
OG0006162	Ofaveolata013073	Ssiderea001352
OG0006163	Ofaveolata032866	Ssiderea055174
OG0006164	Ofaveolata024438	Ssiderea006114
OG0006165	Ofaveolata030742	Ssiderea013840
OG0006166	Ofaveolata029665	Ssiderea000189
OG0006167	Ofaveolata017595	Ssiderea018509
OG0006168	Ofaveolata011221	Ssiderea051544
OG0006169	Ofaveolata000449	Ssiderea029661
OG0006170	Ofaveolata019283	Ssiderea011517
OG0006171	Ofaveolata030629	Ssiderea054383
OG0006172	Ofaveolata029411	Ssiderea032934
OG0006173	Ofaveolata028191	Ssiderea033283
OG0006174	Ofaveolata008992	Ssiderea055043
OG0006175	Ofaveolata015293	Ssiderea057464
OG0006176	Ofaveolata014336	Ssiderea003822
OG0006177	Ofaveolata034100	Ssiderea031688
OG0006178	Ofaveolata011445	Ssiderea019358
OG0006179	Ofaveolata005586	Ssiderea016156
OG0006180	Ofaveolata027211	Ssiderea035247
OG0006181	Ofaveolata017511	Ssiderea048491
OG0006182	Ofaveolata004405	Ssiderea010610
OG0006183	Ofaveolata000928	Ssiderea022501
OG0006184	Ofaveolata006941	Ssiderea048302
OG0006185	Ofaveolata010917	Ssiderea019926
OG0006186	Ofaveolata013482	Ssiderea000422
OG0006187	Ofaveolata012522	Ssiderea017230
OG0006188	Ofaveolata011715	Ssiderea019713
OG0006189	Ofaveolata001339	Ssiderea049731
OG0006190	Ofaveolata008384	Ssiderea008857
OG0006191	Ofaveolata019044	Ssiderea001773
OG0006194	Ofaveolata017601	Ssiderea018514
OG0006195	Ofaveolata030101	Ssiderea054247
OG0006196	Ofaveolata002741	Ssiderea013245
OG0006197	Ofaveolata025848	Ssiderea055503
OG0006198	Ofaveolata024770	Ssiderea016832
OG0006199	Ofaveolata006222	Ssiderea032500
OG0006200	Ofaveolata000837	Ssiderea022641
OG0006201	Ofaveolata000421	Ssiderea029687
OG0006204	Ofaveolata005635	Ssiderea016246
OG0006205	Ofaveolata022300	Ssiderea023137
OG0006206	Ofaveolata017228	Ssiderea054587
OG0006207	Ofaveolata000600	Ssiderea029641
OG0006208	Ofaveolata028122	Ssiderea035340
OG0006209	Ofaveolata027339	Ssiderea042190
OG0006210	Ofaveolata029957	Ssiderea024225
OG0006211	Ofaveolata030303	Ssiderea027594
OG0006212	Ofaveolata018180	Ssiderea002024
OG0006213	Ofaveolata010443	Ssiderea019462
OG0006214	Ofaveolata009031	Ssiderea055050
OG0006215	Ofaveolata030016	Ssiderea052997
OG0006216	Ofaveolata006256	Ssiderea032543
OG0006217	Ofaveolata002988	Ssiderea012972
OG0006218	Ofaveolata030092	Ssiderea054260
OG0006219	Ofaveolata005593	Ssiderea016146
OG0006220	Ofaveolata010343	Ssiderea045290
OG0006221	Ofaveolata014088	Ssiderea003486
OG0006222	Ofaveolata009384	Ssiderea036613
OG0006223	Ofaveolata012803	Ssiderea001756
OG0006224	Ofaveolata024652	Ssiderea017214
OG0006225	Ofaveolata033228	Ssiderea026185
OG0006226	Ofaveolata033101	Ssiderea026094
OG0006227	Ofaveolata033059	Ssiderea025960
OG0006228	Ofaveolata017467	Ssiderea046776
OG0006229	Ofaveolata025313	Ssiderea041987
OG0006230	Ofaveolata008617	Ssiderea050545
OG0006231	Ofaveolata017547	Ssiderea050464
OG0006232	Ofaveolata003574	Ssiderea046309
OG0006233	Ofaveolata015722	Ssiderea054088
OG0006234	Ofaveolata022838	Ssiderea015476
OG0006235	Ofaveolata017271	Ssiderea046635
OG0006236	Ofaveolata033042	Ssiderea025914
OG0006237	Ofaveolata019314	Ssiderea011458
OG0006238	Ofaveolata027966	Ssiderea042169
OG0006239	Ofaveolata002839	Ssiderea013432
OG0006240	Ofaveolata001400	Ssiderea026583
OG0006241	Ofaveolata016784	Ssiderea040674
OG0006243	Ofaveolata018222	Ssiderea002105
OG0006244	Ofaveolata008112	Ssiderea032350
OG0006245	Ofaveolata024195	Ssiderea005676
OG0006246	Ofaveolata005397	Ssiderea052389
OG0006247	Ofaveolata034370	Ssiderea052829
OG0006248	Ofaveolata018418	Ssiderea019285
OG0006249	Ofaveolata007411	Ssiderea044659
OG0006250	Ofaveolata020933	Ssiderea020632
OG0006252	Ofaveolata003265	Ssiderea030107
OG0006253	Ofaveolata022077	Ssiderea022994
OG0006254	Ofaveolata028859	Ssiderea014425
OG0006255	Ofaveolata006804	Ssiderea032226
OG0006256	Ofaveolata019878	Ssiderea052230
OG0006257	Ofaveolata034259	Ssiderea031875
OG0006258	Ofaveolata000916	Ssiderea022538
OG0006259	Ofaveolata026759	Ssiderea017761
OG0006260	Ofaveolata016010	Ssiderea055367
OG0006261	Ofaveolata019406	Ssiderea055967
OG0006262	Ofaveolata004465	Ssiderea053258
OG0006263	Ofaveolata031807	Ssiderea006785
OG0006264	Ofaveolata022456	Ssiderea050137
OG0006265	Ofaveolata016765	Ssiderea040627
OG0006266	Ofaveolata000856	Ssiderea022607
OG0006267	Ofaveolata002850	Ssiderea013477
OG0006268	Ofaveolata000016	Ssiderea029559
OG0006269	Ofaveolata023647	Ssiderea015609
OG0006270	Ofaveolata023398	Ssiderea005103
OG0006271	Ofaveolata024422	Ssiderea006103
OG0006272	Ofaveolata013874	Ssiderea044147
OG0006273	Ofaveolata000141	Ssiderea021890
OG0006274	Ofaveolata028157	Ssiderea042404
OG0006275	Ofaveolata033192	Ssiderea026234
OG0006276	Ofaveolata019194	Ssiderea019153
OG0006277	Ofaveolata025871	Ssiderea055469
OG0006278	Ofaveolata016237	Ssiderea052728
OG0006279	Ofaveolata031049	Ssiderea006574
OG0006280	Ofaveolata028506	Ssiderea057977
OG0006281	Ofaveolata000244	Ssiderea029602
OG0006282	Ofaveolata008244	Ssiderea057192
OG0006283	Ofaveolata033832	Ssiderea040180
OG0006284	Ofaveolata003257	Ssiderea030122
OG0006285	Ofaveolata027055	Ssiderea042128
OG0006286	Ofaveolata013835	Ssiderea044250
OG0006287	Ofaveolata028745	Ssiderea014562
OG0006288	Ofaveolata032999	Ssiderea026167
OG0006289	Ofaveolata015393	Ssiderea038281
OG0006290	Ofaveolata003361	Ssiderea029954
OG0006291	Ofaveolata003106	Ssiderea024645
OG0006292	Ofaveolata021886	Ssiderea020410
OG0006293	Ofaveolata002462	Ssiderea024989
OG0006294	Ofaveolata016822	Ssiderea054552
OG0006295	Ofaveolata009051	Ssiderea055062
OG0006296	Ofaveolata003309	Ssiderea030049
OG0006297	Ofaveolata019811	Ssiderea012063
OG0006298	Ofaveolata001627	Ssiderea026720
OG0006299	Ofaveolata026619	Ssiderea035146
OG0006300	Ofaveolata029270	Ssiderea033229
OG0006301	Ofaveolata005394	Ssiderea052390
OG0006302	Ofaveolata011493	Ssiderea045104
OG0006303	Ofaveolata003035	Ssiderea024830
OG0006304	Ofaveolata024577	Ssiderea005929
OG0006305	Ofaveolata012987	Ssiderea001643
OG0006306	Ofaveolata004236	Ssiderea042869
OG0006307	Ofaveolata018806	Ssiderea003012
OG0006308	Ofaveolata024573	Ssiderea005933
OG0006309	Ofaveolata021505	Ssiderea020298
OG0006310	Ofaveolata000974	Ssiderea022465
OG0006311	Ofaveolata001904	Ssiderea050377
OG0006312	Ofaveolata018172	Ssiderea002016
OG0006313	Ofaveolata025283	Ssiderea041846
OG0006314	Ofaveolata023811	Ssiderea049949
OG0006315	Ofaveolata029801	Ssiderea023949
OG0006316	Ofaveolata019784	Ssiderea012129
OG0006317	Ofaveolata016907	Ssiderea039313
OG0006318	Ofaveolata020809	Ssiderea047623
OG0006319	Ofaveolata032786	Ssiderea056222
OG0006320	Ofaveolata032994	Ssiderea057417
OG0006321	Ofaveolata010194	Ssiderea054850
OG0006322	Ofaveolata009867	Ssiderea051795
OG0006323	Ofaveolata026737	Ssiderea017718
OG0006324	Ofaveolata003061	Ssiderea024797
OG0006325	Ofaveolata001492	Ssiderea043721
OG0006326	Ofaveolata031066	Ssiderea048728
OG0006327	Ofaveolata022675	Ssiderea015236
OG0006328	Ofaveolata009622	Ssiderea051629
OG0006329	Ofaveolata018986	Ssiderea001893
OG0006330	Ofaveolata023337	Ssiderea005240
OG0006331	Ofaveolata002666	Ssiderea027198
OG0006332	Ofaveolata005238	Ssiderea016673
OG0006333	Ofaveolata008762	Ssiderea008294
OG0006334	Ofaveolata028411	Ssiderea034419
OG0006335	Ofaveolata020688	Ssiderea056528
OG0006336	Ofaveolata010704	Ssiderea057807
OG0006337	Ofaveolata027688	Ssiderea018241
OG0006338	Ofaveolata011261	Ssiderea051480
OG0006339	Ofaveolata002370	Ssiderea012876
OG0006340	Ofaveolata032710	Ssiderea034746
OG0006341	Ofaveolata007027	Ssiderea010083
OG0006342	Ofaveolata023952	Ssiderea045876
OG0006343	Ofaveolata013712	Ssiderea049223
OG0006344	Ofaveolata014923	Ssiderea003932
OG0006345	Ofaveolata027428	Ssiderea035527
OG0006346	Ofaveolata003027	Ssiderea024845
OG0006347	Ofaveolata027771	Ssiderea025334
OG0006348	Ofaveolata026148	Ssiderea054962
OG0006349	Ofaveolata022700	Ssiderea015265
OG0006350	Ofaveolata029152	Ssiderea033249
OG0006351	Ofaveolata005258	Ssiderea015907
OG0006352	Ofaveolata009147	Ssiderea058043
OG0006353	Ofaveolata036285	Ssiderea62007
OG0006354	Ofaveolata019333	Ssiderea037268
OG0006355	Ofaveolata020069	Ssiderea056493
OG0006356	Ofaveolata024431	Ssiderea006109
OG0006357	Ofaveolata004120	Ssiderea042909
OG0006359	Ofaveolata022421	Ssiderea023532
OG0006360	Ofaveolata003191	Ssiderea030185
OG0006361	Ofaveolata007868	Ssiderea009082
OG0006362	Ofaveolata001868	Ssiderea050388
OG0006363	Ofaveolata001954	Ssiderea050200
OG0006364	Ofaveolata031669	Ssiderea006826
OG0006365	Ofaveolata014902	Ssiderea057671
OG0006366	Ofaveolata022391	Ssiderea023161
OG0006367	Ofaveolata001051	Ssiderea022300
OG0006368	Ofaveolata033769	Ssiderea025867
OG0006369	Ofaveolata028754	Ssiderea046275
OG0006370	Ofaveolata032660	Ssiderea051997
OG0006371	Ofaveolata023275	Ssiderea005315
OG0006372	Ofaveolata027953	Ssiderea042122
OG0006373	Ofaveolata023686	Ssiderea049154
OG0006374	Ofaveolata033732	Ssiderea053615
OG0006375	Ofaveolata018459	Ssiderea056557
OG0006376	Ofaveolata013279	Ssiderea001024
OG0006377	Ofaveolata019683	Ssiderea012146
OG0006378	Ofaveolata018233	Ssiderea002112
OG0006379	Ofaveolata018913	Ssiderea013475
